OBJECTID_1,ADMINISTRA,UNIDAD_FIS,NOM_DPTO,NOM_PROV,NOM_DIST,UF_nombre,geometry_wkt
99,CEPSA PERUANA S.A.C.,Lote 131,UCAYALI/HUÁNUCO/PASCO,CORONEL PORTILLO/PADRE ABAD/PUERTO INCA/OXAPAMPA,MASISEA/IPARÍA/CAMPOVERDE/IRAZOLA/HONORIA/TOURNAVISTA/PUERTO INCA/YUYAPICHIS/CODO DE POZUZO/PUERTO BERMÚDEZ,Lote 131,"POLYGON ((-75.11988200415018 -8.984245777512063, -75.03519433220764 -8.984245777512063, -75.03519433220764 -8.833988271727748, -75.11988200415018 -8.833988271727748, -75.11988200415018 -8.984245777512063))"
46,MAPLE GAS CORPORATION DEL PERU S.R.L. EN LIQUIDACION,Lote 31-B,LORETO,UCAYALI,CONTAMANA,Lote 31-B,"POLYGON ((-74.80393184344145 -7.423328977496231, -74.7727556125615 -7.423328977496231, -74.7727556125615 -7.289583285534366, -74.8448797287763 -7.289583285534366, -74.84534504565511 -7.191613190187816, -74.9160732112335 -7.191613190187816, -74.99703834814561 -7.191613190187816, -74.99703834814561 -7.289583285534366, -75.04450066978374 -7.289583285534366, -75.04450066978374 -7.423328977496231, -74.89978712047532 -7.423328977496231, -74.80393184344145 -7.423328977496231))"
47,MAPLE GAS CORPORATION DEL PERU S.R.L. EN LIQUIDACION,Lote 31-E,LORETO,UCAYALI,CONTAMANA,Lote 31-E,"POLYGON ((-74.89978712047532 -7.423328977496231, -74.89978712047532 -7.461856543081954, -74.86488835456493 -7.511942378343392, -74.82068325107844 -7.511942378343392, -74.78764575268326 -7.489376232786041, -74.78764575268326 -7.446995910641746, -74.80393184344145 -7.423328977496231, -74.89978712047532 -7.423328977496231))"
48,COMPAÑIA CONSULTORA DE PETROLEO SOCIEDAD ANONIMA,Lote 100,LORETO,UCAYALI,PAMPA HERMOSA,Lote 100,"POLYGON ((-75.16641369203072 -7.0683249803135055, -75.16641369203072 -7.003928906405941, -75.2101534786384 -7.003928906405941, -75.2101534786384 -7.1013486079584105, -75.2101534786384 -7.128868297662498, -75.16641369203072 -7.128868297662498, -75.16641369203072 -7.105201364516983, -75.12686175733226 -7.075480099636568, -75.12686175733226 -7.0683249803135055, -75.16641369203072 -7.0683249803135055))"
50,REPSOL EXPLORACION PERU SUCURSAL DEL PER U,Lote 103,LORETO/SAN MARTIN,ALTO AMAZONAS/MOYOBAMBA/LAMAS/SAN MARTIN/PICOTA,CAYNARACHI/SAN ROQUE DE CUBANZA,Lote 103,"POLYGON ((-75.90580221245222 -6.42711621020827, -75.90580221245222 -6.3318980838321295, -76.29248053873935 -5.931211401740617, -76.44277789059343 -5.775449958015484, -76.44231257371463 -5.589416855615854, -76.84155445572951 -5.588316068027691, -76.84341572324473 -6.049546067468194, -76.72615586978581 -6.0500964612622745, -76.72708650354343 -6.327494933479475, -76.39903810398575 -6.617002069166473, -76.39996873774336 -6.981913154642671, -76.10542315345965 -6.982463548436753, -76.10495783658085 -6.787073751537733, -76.03609093851767 -6.787624145331815, -76.03609093851767 -6.62250600710729, -75.90626752933102 -6.490411496527672, -75.90580221245222 -6.42711621020827))"
52,"KAROON PERU PTY LTD.,SUCURSAL DEL PERU",Lote 144,NA,NA,NA,Lote 144,"POLYGON ((-76.36879250686341 -5.136442763086576, -76.3683271899846 -5.054984481562478, -76.3683271899846 -4.946556904128375, -76.3678618731058 -4.85354035292856, -76.42183863104721 -4.85354035292856, -76.42183863104721 -4.653197011882803, -76.52141644311152 -4.653197011882803, -76.52095112623272 -4.4704662722476645, -76.38414796386398 -4.4704662722476645, -76.38368264698518 -4.232696153204349, -76.38321733010638 -4.027949661805939, -76.45487612944237 -4.027949661805939, -76.58004636984097 -4.027949661805939, -76.70940446214883 -4.027399268011859, -76.73778879175595 -4.027399268011859, -76.73732347487714 -3.901359089167139, -76.77454882518157 -3.901359089167139, -76.77454882518157 -3.8892504256973393, -76.79827998600062 -3.8887000319032587, -77.0183748696755 -3.8887000319032587, -77.01930550343312 -4.261867024290682, -77.12679370243711 -4.261867024290682, -77.12725901931591 -4.423132405956634, -77.2045016211976 -4.423132405956634, -77.2049669380764 -4.575041093123195, -76.83829723757788 -4.57614188071136, -76.78245921212125 -4.57614188071136, -76.78292452900006 -4.823268694254063, -76.69637558954228 -4.823268694254063, -76.69637558954228 -4.8953702812787725, -76.5907486580535 -4.895920675072853, -76.5912139749323 -4.97022383727389, -76.51304073929303 -4.97022383727389, -76.51304073929303 -5.06819393262044, -76.43393686989614 -5.06819393262044, -76.43393686989614 -5.135892369292495, -76.36879250686341 -5.136442763086576))"
84,"SUBANDEAN E&P PERÚ, LLC, SUCURSAL DEL PERU EN LIQUIDACIÓN",Lote 121,NA,NA,NA,Lote 121,"POLYGON ((-75.23341932257867 -1.541270500144611, -75.23341932257867 -1.179661777432905, -75.42001139097955 -1.0525208110000204, -75.4511876218595 -1.1631499636104525, -75.48794765528513 -1.2941436866019078, -75.50004589413406 -1.3376247963343655, -75.50190716164927 -1.3469814908337554, -75.50702564731614 -1.365144486038453, -75.43676279861654 -1.3145082569829327, -75.28925734803529 -1.5214563235576684, -75.3171763607636 -1.541270500144611, -75.23341932257867 -1.541270500144611))"
38,UPLAND OIL AND GAS LLC SUCURSAL DEL PERU,Lote XXIV,PIURA,PIURA,PIURA,Lote XXIV,"POLYGON ((-80.95960883315574 -5.2509246722555805, -80.82094440327178 -5.2509246722555805, -80.82094440327178 -5.0698451140026854, -80.95821288251932 -5.0698451140026854, -81.07547273597824 -5.0698451140026854, -81.07314615158421 -5.067093145032276, -81.0722155178266 -5.064341176061868, -81.07035425031138 -5.062139600885541, -81.06895829967496 -5.057186056738805, -81.06663171528093 -5.052782906386151, -81.0624438633717 -5.050030937415743, -81.06104791273528 -5.046728574651253, -81.06011727897767 -5.039023061534108, -81.06058259585647 -5.031317548416963, -81.0629091802505 -5.019208884947165, -81.24857061489378 -5.019208884947165, -81.24857061489378 -5.064341176061868, -81.27555899386448 -5.064341176061868, -81.27555899386448 -5.245420734314763, -81.18528751937627 -5.245420734314763, -81.18528751937627 -5.109473467176571, -81.14015178213216 -5.109473467176571, -81.14015178213216 -5.155156152085356, -81.09501604488806 -5.155156152085356, -81.09501604488806 -5.205792381140876, -81.00474457039985 -5.205792381140876, -81.00474457039985 -5.160660090026173, -80.95960883315574 -5.160660090026173, -80.95960883315574 -5.2509246722555805))"
41,NOREX ENERGIA S.A.,Lote Z-49,NA,NA,NA,Lote Z-49,"POLYGON ((-77.83965916076671 -10.806599629716725, -77.83872852700911 -10.89686421194613, -78.21842710011417 -10.900716968504703, -78.2216843182658 -10.525348400940953, -78.30171882142031 -10.525898794735035, -78.30264945517791 -10.396556253125823, -78.72515718113306 -10.399858615890313, -78.72655313176948 -10.173646766522715, -78.77215418589239 -10.174197160316798, -78.81542865562128 -10.174197160316798, -79.03319695490211 -10.175848341699044, -78.8801077017752 -10.491223985707883, -78.77680735468044 -10.4906735919138, -78.77587672092282 -10.580938174143208, -78.59347250443118 -10.579837386555045, -78.59254187067357 -10.67010196878445, -78.57439451240016 -10.67010196878445, -78.57392919552136 -10.760366551013858, -78.48226177039673 -10.759816157219776, -78.48179645351793 -10.837421682185301, -78.46411441212332 -10.8495303456551, -78.29892692014747 -10.848429558066936, -78.29753096951106 -10.989880763145946, -78.29706565263226 -11.049873686700856, -78.29706565263226 -11.083998101933926, -78.29008589945018 -11.095005977815559, -78.19050808738585 -11.262876085010491, -77.69401497770069 -11.267829629157227, -77.6954109283371 -11.07629258881678, -77.72286462418661 -11.07629258881678, -77.72426057482302 -10.986028006587373, -77.76986162894593 -10.986578400381454, -77.77079226270354 -10.896313818152048, -77.7931274728862 -10.89686421194613, -77.7940581066438 -10.806049235922643, -77.83965916076671 -10.806599629716725))"
43,UNNA ENERGIA S.A.,Lote IV,PIURA,TALARA,PARIÑAS,Lote IV,"POLYGON ((-80.99311164842972 -4.4374426446027595, -80.99311164842972 -4.436892250808677, -81.03312890000696 -4.436892250808677, -81.13922114837456 -4.436892250808677, -81.16574421046646 -4.436892250808677, -81.16853611173929 -4.440194613573167, -81.17551586492137 -4.449551308072557, -81.19040600504313 -4.4545048522192925, -81.19598980758879 -4.460559183954192, -81.19598980758879 -4.49468359918726, -81.18156498434583 -4.509544231627467, -81.18156498434583 -4.5238544702735926, -81.1527153378599 -4.5238544702735926, -81.1527153378599 -4.5271568330380845, -81.1345679795865 -4.5271568330380845, -81.1345679795865 -4.581645818652177, -81.1527153378599 -4.581645818652177, -81.1527153378599 -4.5678859738001325, -81.18156498434583 -4.5678859738001325, -81.21041463083175 -4.5678859738001325, -81.21041463083175 -4.57944424347585, -81.21041463083175 -4.625677322178717, -81.18156498434583 -4.625677322178717, -81.18156498434583 -4.640537954618923, -81.1527153378599 -4.640537954618923, -81.10897555125221 -4.640537954618923, -81.10897555125221 -4.583297000034422, -81.06570108152333 -4.583297000034422, -81.06570108152333 -4.512296200597877, -81.06570108152333 -4.477621391570727, -80.99311164842972 -4.477621391570727, -80.99311164842972 -4.4374426446027595))"
44,FRONTERA ENERGY DEL PERU S.A.EN LIQUIDACION,Lote 126,UCAYALI,ATALAYA,TAHUANIA,Lote 126,"POLYGON ((-73.43543490287529 -8.952873331249403, -73.55688260824344 -8.953423725043486, -73.55548665760703 -9.224767865525786, -73.61644316873051 -9.224767865525786, -73.61597785185171 -9.315032447755193, -73.73742555721986 -9.315582841549274, -73.73789087409868 -9.225318259319867, -73.79838206834336 -9.225318259319867, -73.79884738522216 -9.044789094861056, -73.92029509059033 -9.044789094861056, -73.91936445683271 -9.316133235343356, -73.88911885971038 -9.316133235343356, -73.88818822595276 -9.587477375825657, -73.97939033419858 -9.587477375825657, -73.97892501731978 -9.768556934078552, -73.79652080082813 -9.76800654028447, -73.79605548394933 -9.835154583162442, -73.69042855246055 -9.835154583162442, -73.69042855246055 -9.814790012781419, -73.43171236784484 -9.813689225193254, -73.43357363536006 -9.404746636190517, -73.33353050641693 -9.404196242396434, -73.33399582329574 -9.313931660167029, -73.38797258123715 -9.314482053961111, -73.38843789811595 -9.133402495708216, -73.40705057326817 -9.133402495708216, -73.40705057326817 -9.043137913478809, -73.43496958599647 -9.043137913478809, -73.43543490287529 -8.952873331249403))"
32,PETROLEOS DEL PERU PETROPERU SA,Lote VI,PIURA,TALARA/PAITA,PARIÑAS/LOBITOS,Lote VI,"POLYGON ((-81.16853611173929 -4.440194613573167, -81.22530477095351 -4.440194613573167, -81.22530477095351 -4.43138831286786, -81.26997519131882 -4.43138831286786, -81.27090582507643 -4.433589888044187, -81.2764896276221 -4.446248945308067, -81.2774202613797 -4.445698551513985, -81.27974684577373 -4.45010170186664, -81.29417166901669 -4.4434969763376575, -81.30115142219877 -4.46000879016011, -81.29975547156235 -4.4611095777482745, -81.30720054162323 -4.477621391570727, -81.3039433234716 -4.47872217915889, -81.30626990786563 -4.484226117099707, -81.30208205595638 -4.485877298481952, -81.3034780065928 -4.4891796612464425, -81.303012689714 -4.49138123642277, -81.30161673907757 -4.491931630216852, -81.30068610531997 -4.4941332053931795, -81.29789420404714 -4.496334780569505, -81.29417166901669 -4.503489899892569, -81.28998381710744 -4.51339698818604, -81.2857959651982 -4.520552107509102, -81.28253874704656 -4.524955257861757, -81.28067747953133 -4.52935840821441, -81.28021216265253 -4.533761558567065, -81.28300406392536 -4.533761558567065, -81.28021216265253 -4.539265496507882, -81.27835089513731 -4.546420615830945, -81.27881621201612 -4.549722978595435, -81.28067747953133 -4.5508237661835995, -81.27974684577373 -4.553025341359925, -81.250431882409 -4.553025341359925, -81.250431882409 -4.53541273994931, -81.23181920725679 -4.53541273994931, -81.23042325662037 -4.532660770978902, -81.22623540471113 -4.5332111647729825, -81.22111691904428 -4.53541273994931, -81.2141371658622 -4.53541273994931, -81.2141371658622 -4.540366284096045, -81.20994931395295 -4.540366284096045, -81.20994931395295 -4.545319828242782, -81.19645512446759 -4.545319828242782, -81.19645512446759 -4.553025341359925, -81.18156498434583 -4.553025341359925, -81.18156498434583 -4.5238544702735926, -81.18156498434583 -4.509544231627467, -81.19598980758879 -4.49468359918726, -81.19598980758879 -4.460559183954192, -81.19040600504313 -4.4545048522192925, -81.17551586492137 -4.449551308072557, -81.16853611173929 -4.440194613573167))"
100,OLYMPIC PERU INC SUCURSAL DEL PERU,Lote XIII,PIURA,VARIOS,VARIOS,Lote XIII,"POLYGON ((-80.6981007472672 -5.01150337183002, -80.6981007472672 -5.0698451140026854, -80.60829458965779 -5.0698451140026854, -80.6087599065366 -4.979030137979198, -80.6981007472672 -4.979030137979198, -80.6981007472672 -5.01150337183002))"
101,ANADARKO PERU B.V. SUCURSAL PERUANA,Lote Z-61,NA,NA,NA,Lote Z-61,"POLYGON ((-80.93634298921548 -7.734851864946499, -80.76975954660321 -7.734851864946499, -80.75486940648143 -7.734851864946499, -80.60317610399093 -7.734851864946499, -80.5733958237474 -7.734851864946499, -80.43659266137867 -7.734851864946499, -80.39238755789216 -7.734851864946499, -80.27000921876639 -7.734301471152419, -80.21091397515814 -7.734301471152419, -80.10342577615413 -7.734301471152419, -80.01966873796918 -7.7337510773583364, -80.02013405484799 -7.635780982011786, -80.02013405484799 -7.549369156340951, -80.02013405484799 -7.463507724464199, -80.0205993717268 -7.377646292587446, -80.21137929203694 -7.377646292587446, -80.28582999264577 -7.3781966863815285, -80.28582999264577 -7.274172259300078, -80.28629530952458 -7.169597438424546, -80.32026344167735 -7.169597438424546, -80.36307259452744 -7.169597438424546, -80.36307259452744 -7.093643094841266, -80.36353791140624 -7.002828118817778, -80.39331819164978 -7.002828118817778, -80.57432645750501 -7.003378512611858, -80.59619635080885 -7.003378512611858, -80.70973366923734 -7.003378512611858, -80.75533472336025 -7.003378512611858, -80.93634298921548 -7.003378512611858, -80.93634298921548 -7.093643094841266, -80.93634298921548 -7.184458070864753, -80.93634298921548 -7.274722653094161, -80.93634298921548 -7.365537629117648, -80.93634298921548 -7.455802211347054, -80.93634298921548 -7.546066793576461, -80.93634298921548 -7.636881769599949, -80.93634298921548 -7.734851864946499))"
102,ANADARKO PERU B.V. SUCURSAL PERUANA,Lote Z-62,NA,NA,NA,Lote Z-62,"POLYGON ((-80.93634298921548 -7.734851864946499, -80.93634298921548 -7.825666840969987, -80.93634298921548 -7.915931423199394, -80.93634298921548 -8.006746399222882, -80.93634298921548 -8.09701098145229, -80.93634298921548 -8.187275563681695, -80.93634298921548 -8.322672437025805, -80.8144299669685 -8.322672437025805, -80.69298226160035 -8.322122043231722, -80.58130621068709 -8.322122043231722, -80.44962153398521 -8.322122043231722, -80.39936731107424 -8.322122043231722, -80.32817382861705 -8.322122043231722, -80.20626080637008 -8.32157164943764, -80.08481310100191 -8.32157164943764, -80.01827278733278 -8.321021255643558, -80.01873810421158 -8.219198403738435, -80.01873810421158 -8.18617477609353, -80.01873810421158 -8.077196804865345, -80.01920342109038 -7.991335372988593, -80.01920342109038 -7.9054739411118415, -80.01966873796918 -7.819612509235089, -80.01966873796918 -7.7337510773583364, -80.10342577615413 -7.734301471152419, -80.21091397515814 -7.734301471152419, -80.27000921876639 -7.734301471152419, -80.39238755789216 -7.734851864946499, -80.43659266137867 -7.734851864946499, -80.5733958237474 -7.734851864946499, -80.60317610399093 -7.734851864946499, -80.75486940648143 -7.734851864946499, -80.76975954660321 -7.734851864946499, -80.93634298921548 -7.734851864946499))"
103,ANADARKO PERU B.V. SUCURSAL PERUANA,Lote Z-63,NA,NA,NA,Lote Z-63,"POLYGON ((-80.58130621068709 -8.322122043231722, -80.58084089380829 -8.41293701925521, -80.58084089380829 -8.503201601484617, -80.58084089380829 -8.593466183714025, -80.58084089380829 -8.684281159737512, -80.58084089380829 -8.774545741966918, -80.58037557692948 -8.833437877933665, -80.3500437219209 -8.832887484139583, -80.3500437219209 -8.864810324196323, -80.3500437219209 -8.967183569895528, -80.1895093987331 -8.967183569895528, -80.02944039242409 -8.966633176101446, -79.8693713861151 -8.966082782307366, -79.8340073033259 -8.966082782307366, -79.8340073033259 -8.86315914281408, -79.8344726202047 -8.812522913758558, -79.8344726202047 -8.730514238440378, -79.83493793708351 -8.648505563122198, -79.83493793708351 -8.566496887804018, -79.83540325396231 -8.484488212485838, -79.83540325396231 -8.402479537167657, -79.83586857084113 -8.321021255643558, -80.01827278733278 -8.321021255643558, -80.08481310100191 -8.32157164943764, -80.20626080637008 -8.32157164943764, -80.32817382861705 -8.322122043231722, -80.39936731107424 -8.322122043231722, -80.44962153398521 -8.322122043231722, -80.58130621068709 -8.322122043231722))"
1,NOREX ENERGIA S.A.,Lote Z-51,NA,NA,NA,Lote Z-51,"POLYGON ((-78.19050808738585 -11.262876085010491, -78.25006864787292 -11.162704414487614, -78.77727267155925 -11.156650082752716, -78.77680735468044 -11.157200476546796, -78.48505367166956 -11.685028125071192, -78.35709152999813 -11.81657224185673, -77.27429915301838 -11.827580117738364, -77.27383383613957 -11.754928136919574, -77.17099880592362 -11.755478530713654, -77.1705334890448 -11.751075380361002, -77.16913753840839 -11.748873805184672, -77.16867222152959 -11.742819473449774, -77.16820690465079 -11.738966716891202, -77.16913753840839 -11.73511396033263, -77.17332539031764 -11.727958841009567, -77.1779785591057 -11.723005296862832, -77.1784438759845 -11.720803721686504, -77.1798398266209 -11.71970293409834, -77.18077046037853 -11.71640057133385, -77.18216641101493 -11.715850177539767, -77.18309704477255 -11.712547814775277, -77.18635426292418 -11.709245452010787, -77.18914616419701 -11.704291907864052, -77.19333401610626 -11.700989545099562, -77.19705655113671 -11.696036000952827, -77.19891781865192 -11.6938344257765, -77.19752186801551 -11.691632850600172, -77.19519528362149 -11.692183244394254, -77.19240338234866 -11.69108245680609, -77.19147274859104 -11.6877800940416, -77.19193806546984 -11.683376943688945, -77.19333401610626 -11.682276156100782, -77.19240338234866 -11.680624974718537, -77.19379933298507 -11.67842339954221, -77.19566060050029 -11.676221824365882, -77.19798718489432 -11.67236906780731, -77.19798718489432 -11.670167492630984, -77.19938313553072 -11.667415523660576, -77.20264035368237 -11.664113160896084, -77.2045016211976 -11.65915961674935, -77.20682820559162 -11.657508435367102, -77.20775883934922 -11.655306860190777, -77.20682820559162 -11.652554891220369, -77.20775883934922 -11.651454103632204, -77.20775883934922 -11.648151740867714, -77.21148137437967 -11.646500559485467, -77.21287732501608 -11.643198196720977, -77.2147385925313 -11.643198196720977, -77.21613454316773 -11.638795046368324, -77.22637151450144 -11.630539139457099, -77.23335126768352 -11.625585595310362, -77.23846975335037 -11.621182444957707, -77.24544950653245 -11.617329688399135, -77.25568647786616 -11.607972993899747, -77.26173559729062 -11.60301944975301, -77.26313154792705 -11.601918662164847, -77.27243788550315 -11.594763542841784, -77.2770910542912 -11.590910786283212, -77.27988295556403 -11.587608423518722, -77.28220953995806 -11.586507635930559, -77.27988295556403 -11.584856454548312, -77.2766257374124 -11.587608423518722, -77.27383383613957 -11.584856454548312, -77.27197256862435 -11.585406848342394, -77.27011130110913 -11.58375566696015, -77.26964598423032 -11.582104485577904, -77.27011130110913 -11.577150941431169, -77.27104193486673 -11.57439897246076, -77.27104193486673 -11.572197397284434, -77.27429915301838 -11.565042277961371, -77.27476446989718 -11.561189521402799, -77.27616042053359 -11.55898794622647, -77.28034827244284 -11.552933614491572, -77.28314017371567 -11.550732039315246, -77.28314017371567 -11.549080857933, -77.29337714504939 -11.539173769639529, -77.29570372944342 -11.537522588257282, -77.29756499695863 -11.53366983169871, -77.29709968007982 -11.531468256522384, -77.2952384125646 -11.528716287551976, -77.29849563071625 -11.522111562022994, -77.30082221511027 -11.517708411670341, -77.30733665141354 -11.510002898553196, -77.31385108771681 -11.503948566818297, -77.31943489026247 -11.500095810259724, -77.33292907974783 -11.490739115760334, -77.33665161477828 -11.48908793437809, -77.3394435160511 -11.488537540584009, -77.34223541732393 -11.486886359201762, -77.34456200171796 -11.484134390231354, -77.34270073420274 -11.481932815055027, -77.34363136796036 -11.478630452290536, -77.34270073420274 -11.474777695731964, -77.35154175490004 -11.467622576408901, -77.35572960680929 -11.46707218261482, -77.36038277559734 -11.46432021364441, -77.36038277559734 -11.460467457085839, -77.37201569756746 -11.452761943968694, -77.37666886635552 -11.450560368792367, -77.38039140138596 -11.448358793616041, -77.38457925329521 -11.446157218439712, -77.38830178832565 -11.442854855675222, -77.39388559087132 -11.440102886704814, -77.40458787908383 -11.432947767381751, -77.40691446347786 -11.431296585999506, -77.41296358290232 -11.427994223235014, -77.41761675169037 -11.424691860470524, -77.43157625805453 -11.416435953559299, -77.43436815932736 -11.414784772177054, -77.44041727875184 -11.410932015618481, -77.45018893320675 -11.404877683883583, -77.45251551760077 -11.403776896295419, -77.45949527078285 -11.399373745942764, -77.46600970708613 -11.395520989384192, -77.46787097460134 -11.39497059559011, -77.47345477714701 -11.39166823282562, -77.48043453032909 -11.387815476267047, -77.48881023414758 -11.382311538326231, -77.4911368185416 -11.381761144532149, -77.49811657172368 -11.377357994179494, -77.50509632490576 -11.374055631415004, -77.51021481057262 -11.370753268650514, -77.53394597139169 -11.358644605180714, -77.54185635833137 -11.354241454828061, -77.545113576483 -11.352590273445816, -77.54930142839225 -11.349838304475409, -77.55116269590748 -11.349287910681326, -77.55628118157433 -11.347086335504999, -77.56465688539284 -11.342132791358264, -77.57768575799938 -11.335528065829283, -77.58233892678743 -11.333326490652954, -77.59490248251517 -11.327272158918056, -77.60141691881844 -11.323419402359484, -77.61304984078858 -11.318465858212747, -77.61723769269783 -11.315713889242339, -77.62607871339512 -11.311861132683767, -77.63119719906197 -11.309659557507441, -77.6325931496984 -11.308558769919276, -77.63585036785003 -11.308008376125194, -77.63957290288047 -11.305806800948869, -77.64376075478972 -11.304706013360704, -77.6423648041533 -11.338280034799691, -77.73682413055076 -11.430746192205424, -77.78847430409814 -11.386714688678884, -77.75915934073342 -11.354241454828061, -77.7396160318236 -11.334977672035201, -77.67121445063923 -11.267829629157227, -77.69401497770069 -11.267829629157227, -78.19050808738585 -11.262876085010491))"
2,NOREX ENERGIA S.A.,Lote Z-52,NA,NA,NA,Lote Z-52,"POLYGON ((-77.27429915301838 -11.827580117738364, -78.35709152999813 -11.81657224185673, -78.19841847432555 -11.979488804904925, -78.02392464477359 -12.355407766262758, -77.68331268948816 -12.657573959213636, -77.25801306226019 -12.661426715772208, -77.25429052722974 -12.238724281917428, -77.25382521035094 -12.1671730886868, -77.2952384125646 -12.118188041013525, -77.26080496353302 -12.0917691388976, -77.26033964665422 -12.052691179517797, -77.25289457659333 -12.052691179517797, -77.25196394283572 -11.950317933818592, -77.1877502135606 -11.950868327612675, -77.2403310208656 -11.831432874296937, -77.27429915301838 -11.831432874296937, -77.27429915301838 -11.827580117738364))"
3,FRONTERA ENERGY DEL PERU S.A.EN LIQUIDACION,Lote 116,NA,NA,NA,Lote 116,"POLYGON ((-77.49858188860249 -4.496334780569505, -77.49625530420846 -3.757155915117721, -77.56698346978686 -3.756605521323639, -77.59443716563636 -3.5793787196293163, -77.66237342994192 -3.4852613808413384, -77.67540230254848 -3.4852613808413384, -77.67679825318488 -4.027399268011859, -78.01368767343988 -4.026298480423694, -78.18399365108259 -4.314154434728447, -78.28171019563167 -4.595956057298302, -78.10116724665525 -4.867300197780603, -77.83035282319061 -4.8684009853687655, -77.82337307000853 -4.777035615551197, -77.70657853342843 -4.510645019215632, -77.49858188860249 -4.496334780569505))"
4,NOREX ENERGIA S.A.,Lote Z-33,NA,NA,NA,Lote Z-33,"POLYGON ((-76.91600515633834 -12.445672348492163, -76.91600515633834 -12.402191238759706, -76.99603965949285 -12.401640844965623, -77.09980532346641 -12.40054005737746, -77.10027064034522 -12.455029042991553, -77.16215778522631 -12.454478649197473, -77.16262310210512 -12.52658023622218, -77.16355373586273 -12.616844818451586, -77.10166659098164 -12.617395212245668, -77.10213190786044 -12.707109400680993, -77.01465233464506 -12.707659794475076, -77.01511765152387 -12.762699173883249, -76.99697029325046 -12.762699173883249, -76.99743561012926 -12.853514149906738, -76.9560224079156 -12.853514149906738, -76.95695304167322 -12.943778732136144, -76.84620762451756 -12.944879519724307, -76.84667294139638 -13.035144101953714, -76.82852558312297 -13.035144101953714, -76.82899090000177 -13.125408684183121, -76.84760357515398 -13.125408684183121, -76.84806889203279 -13.179897669797214, -76.7689650226359 -13.180448063591296, -76.7694303395147 -13.252549650616004, -76.66380340802591 -13.253100044410086, -76.66426872490473 -13.307589030024179, -76.79641871848541 -13.306488242436014, -76.79688403536422 -13.397303218459502, -76.70102875833034 -13.397853612253584, -76.66473404178353 -13.397853612253584, -76.66519935866233 -13.452342597867677, -76.48046855777666 -13.453443385455842, -76.48093387465546 -13.489218982071154, -76.53072278068763 -13.489218982071154, -76.53118809756643 -13.575080413947907, -76.24036504831317 -13.576731595330152, -76.23943441455556 -13.400605581223994, -76.25851240658658 -13.400055187429912, -76.25851240658658 -13.354922896315209, -76.29527244001218 -13.354922896315209, -76.29527244001218 -13.309790605200504, -76.38228669634876 -13.309240211406424, -76.38228669634876 -13.277867765143764, -76.39950342086455 -13.277317371349682, -76.39903810398575 -13.218975629177017, -76.46092524886684 -13.218425235382934, -76.46045993198804 -13.18209924497354, -76.47907260714024 -13.18209924497354, -76.47860729026144 -13.128160653153529, -76.58004636984097 -13.127059865565366, -76.57958105296217 -13.036795283335959, -76.60703474881169 -13.036795283335959, -76.60656943193288 -12.946530701106553, -76.64332946535849 -12.945980307312471, -76.64286414847969 -12.864522025788373, -76.66147682363189 -12.864522025788373, -76.66147682363189 -12.833149579525713, -76.7070778777548 -12.832599185731631, -76.706612560876 -12.764900749059576, -76.73453157360431 -12.764900749059576, -76.73406625672551 -12.710411763445483, -76.86295903215455 -12.709861369651403, -76.86202839839694 -12.5832707970126, -76.88948209424645 -12.582720403218518, -76.88901677736764 -12.492455820989113, -76.91647047321716 -12.492455820989113, -76.91600515633834 -12.445672348492163))"
5,TECPETROL LOTE 174 S.A.C.,Lote 174,UCAYALI,ATALAYA,RAIMONDI,Lote 174,"POLYGON ((-73.07248773740722 -10.733947648897935, -73.07481432180123 -10.378943651715208, -73.68810196806652 -10.381695620685615, -73.6867060174301 -10.737250011662425, -73.07248773740722 -10.733947648897935))"
321,TULLOW PERU LIMITED SUCURSAL DEL PERU,Lote Z-67,NA,NA,NA,Lote Z-67,"POLYGON ((-79.23374852966717 -9.495561612214004, -79.32355468727657 -9.326590717430909, -79.45570468085725 -9.327141111224991, -79.45570468085725 -9.262194643523344, -79.49897915058614 -9.262194643523344, -79.49944446746494 -9.197248175821699, -79.5492333734971 -9.197248175821699, -79.5496986903759 -9.028277281038603, -80.26582136685715 -9.03047885621493, -79.89915166635863 -9.845612065249995, -79.23374852966717 -9.495561612214004))"
322,TULLOW PERU LIMITED SUCURSAL DEL PERU,Lote Z-68,NA,NA,NA,Lote Z-68,"POLYGON ((-79.89915166635863 -9.845612065249995, -79.2984275758211 -10.52479800714687, -78.9694485425058 -10.355276718569693, -79.23374852966717 -9.495561612214004, -79.89915166635863 -9.845612065249995))"
